Model,Dataset,Split,EM,Test Suite,Calibration Error,Params,Model Path,Prediction Path,Logit Path
T5-small,Spider,test_all,0.221,0.319,,60M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-small-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-small-lm-adapt_spider_past_none_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230203T092044.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-small-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000//outputs/test_all.logits
T5-base,Spider,test_all,0.353,0.558,,220M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-base-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-base-lm-adapt_spider_past_none_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230206T093954.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-base-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000//outputs/test_all.logits
T5-large,Spider,test_all,0.388,0.658,,770M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-large-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-large-lm-adapt_spider_past_none_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T064137.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-large-lm-adapt_spider_past_none_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits
BART-base,Spider,test_all,0.272,0.456,,139M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-base_spider_past_none_db_val_all_0.0001/checkpoint-5000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/bart-base_spider_past_none_db_val_all_0.0001_5000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T060905.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-base_spider_past_none_db_val_all_0.0001/checkpoint-5000/outputs/test_all.logits
BART-large,Spider,test_all,0.33,0.569,,406M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-large_spider_past_none_db_val_all_0.0001/checkpoint-5000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/bart-large_spider_past_none_db_val_all_0.0001_5000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T031316.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-large_spider_past_none_db_val_all_0.0001/checkpoint-5000/outputs/test_all.logits
Code-T5-base,Spider,test_all,0.383,0.59,,220M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/codet5-base_spider_past_none_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/codet5-base_spider_past_none_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T214405.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/codet5-base_spider_past_none_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits
T5-small,CoSQL,test_all,0.151,0.218,,60M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-small-lm-adapt_cosql_past_all_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-small-lm-adapt_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230209T175100.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-small-lm-adapt_cosql_past_all_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits
T5-base,CoSQL,test_all,0.264,0.411,,220M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-base-lm-adapt_cosql_past_all_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-base-lm-adapt_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230316T122834.jsonl,
T5-large,CoSQL,test_all,0.324,0.518,,770M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/t5-large-lm-adapt_cosql_past_all_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/t5-large-lm-adapt_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T032533.jsonl,
BART-base,CoSQL,test_all,0.237,0.367,,139M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-base_cosql_past_all_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/bart-base_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T022501.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-base_cosql_past_all_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits
BART-large,CoSQL,test_all,0.285,0.468,,406M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-large_cosql_past_all_db_val_all_0.0001/checkpoint-10000,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/bart-large_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230208T080842.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/bart-large_cosql_past_all_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits
Code-T5-base,CoSQL,test_all,0.307,0.49,,220M,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/codet5-base_cosql_past_all_db_val_all_0.0001/checkpoint-10000/,/brtx/602-nvme1/estengel/calflow_calibration/benchclamp/logs/1.0/codet5-base_cosql_past_all_db_val_all_0.0001_10000_test_eval_unconstrained-beam_bs_5/model_outputs.20230213T011554.jsonl,/brtx/604-nvme2/estengel/calflow_calibration/benchclamp/1.0/codet5-base_cosql_past_all_db_val_all_0.0001/checkpoint-10000/outputs/test_all.logits