user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
 Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . , Is this good ? , how about next month ? ,"[""Actually make it next month."", ""Have training last all day the next day."", ""I meant training next month."", ""What do I have next month?"", ""Actually change it to next month."", ""Actually move it to next month."", ""postpone training to the next month""]","[0, 1, 2, 3, 6, 7, 9]","[0.4855461798782451, 0.0015558147570118308, 0.0005824943033161186, 4.890393938296622e-11, 1.2894550463733752e-14, 1.5776239386833216e-14, 5.254890755416542e-14]"
,, Can you tell me where and when my appointment with Batman will be ? ,"[""I need to cancel all my meetings for tomorrow."", ""Can you tell me when my doctors appointment is and what time it is?"", ""When is my appointment with Batman?"", ""Can you tell me when my appointment with Batman will be?"", ""Can you tell me any upcoming events I have with Batman?"", ""Can you tell me where my appointment with Batman will be?"", ""Can you tell me where and when my appointment with Batman will be?"", ""Can you tell me the location of my appointment with Batman?"", ""Can you tell me where my appointment with Batman is?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0.4813959300518036, 2.41080190082068e-05, 1.5951991459252097e-05, 4.863233440523908e-06, 8.711716430268001e-08, 2.411318039005812e-06, 1.2158663049497004e-05, 7.521243471344434e-07, 7.636291409632923e-07]"
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ? ,"[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?"", ""When is Easter?"", ""When is Flag Day this year?"", ""When is New Years Eve this year?"", ""when is chrismas"", ""When is Thanksgiving this year?"", ""What day of the week is Easter this year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0.47838413237080096, 0.0013487493560451521, 0.0003164407905098532, 0.00012008711424864402, 4.252060775948846e-07, 1.1073144190385088e-07, 9.025460834551999e-08, 8.765131217764295e-08, 1.258367592196741e-07]"
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ? ,"[""What about the next day?"", ""Anything the next day?"", ""What do I have the day after that?"", ""What do I have the next day?"", ""What about the day after?""]","[0, 1, 2, 3, 9]","[0.42970976362913826, 0.00013568813312037677, 3.577237172573674e-07, 2.4085554358991925e-07, 8.892628629868118e-11]"
 what is currently on my schedule , Here 's what I found : , can i schedule something ,"[""please update my calender"", ""what can you help me with"", ""what is my chat id"", ""ok"", ""what is currently on my calendar?"", ""hi"", ""Add an event to my calendar"", ""add something to my calendar"", ""Can you update that?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.41008472442626953, 0.27335435152053833, 0.07190101593732834, 0.0006349067552946508, 0.00035895657492801547, 0.0002439646632410586, 0.0578002424904247, 9.603779755914414e-09, 6.9739325297491684e-12]"
 Do I see Amy today ? ," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ", Can you change the time to 8 ? ,"[""Change the time to 8pm"", ""can you change the meeting time"", ""Change the time to 8am"", ""Can you change that to be around 8 pm?"", ""Can you change that to be around 8 am?"", ""Can you change the time to 8pm?""]","[0, 1, 2, 3, 4, 9]","[0.4624218996129008, 0.0007621115655638278, 0.010900065723571578, 1.2599334706974396e-09, 2.6332929578344486e-10, 2.3660091045799304e-12]"
 what events are this weekend ? , I did n't find any events this weekend . ," Nevermind , just put that on my calendar ","[""How do I create an event?"", ""update my calender"", ""Yes that looks right."", ""Can you create an event?"", ""Are you sure? Please check one more time."", ""what is the event?"", ""Let's put that on the calendar."", ""add that"", ""that put on my calender"", ""put appointment that my""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.42879316210746765, 0.07943116128444672, 0.039644264508942095, 0.023881912271296102, 0.0003104996843014997, 0.00020681548687040419, 6.247963006441775e-07, 2.7836870172267625e-05, 3.4624650453947406e-07, 2.82457006428358e-07]"
" Hi , what meetings do I have scheduled for tomorrow ? ", Here 's what I found : , Is there something the next day ? ,"[""Do I have anything the next day?"", ""How about the day after?"", ""How about the next day?"", ""Do I have anything the day after that?""]","[0, 1, 3, 8]","[0.434501563737381, 4.7613624397731524e-05, 3.183645884925454e-07, 1.6959496028734618e-07]"
 good deal , Let me know if there 's anything else I can help you with . , I need to find when I last met with bob . ,"[""When was my last meeting with bob?"", ""When was the last time I saw bob?"", ""Can you find the last time I met with bob?"", ""When is my last meeting with bob today?"", ""When was my meeting with bob?"", ""When is my last meeting with bob that day?""]","[0, 2, 3, 6, 7, 8]","[0.5951463051936128, 2.4521805745192215e-06, 1.0848932363296968e-09, 3.3812085950234396e-09, 8.564172090172852e-10, 4.205033546062203e-11]"
 Do I meet with Tasha next week ? ," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ", Is there a play later this week ? ,"[""Do I have a play later this week?"", ""Do I have a meeting with Tasha next week at all?"", ""Do I have a play later next week?"", ""Do I have a play this week?"", ""What about the play later this week?"", ""Do I have a play later in the afternoon?"", ""Do I have a play later in the week?"", ""Am I going to play a play later this week?""]","[0, 1, 2, 3, 5, 6, 8, 9]","[0.5446631787767399, 0.0011662425240501761, 0.0015843450687860817, 3.4429181648854462e-06, 1.5672028369272357e-08, 4.4598389857275346e-10, 9.380466600110765e-10, 1.5131206732796103e-13]"
,, How long have a blocked out for my doctor 's appointment ? ,"[""How old are you?"", ""How many days do I have completely free next month?"", ""Can you tell me the weather for tomorrow in Greenville, NC?""]","[0, 1, 2]","[0.5245940089225769, 0.182779923081398, 0.1569025069475174]"
" Yes , perfect ", I 've put that on your calendar . , When is my OBGYN appointment ? ,"[""when is my OBGYN appointment?"", ""Can you search for an OBGYN appointment?"", ""Can you find my OBGYN appointment?"", ""Can you show me my appointment with the OBGYN?"", ""when is my OBGYN Meeting?"", ""What time is my OBGYN appointment?""]","[0, 2, 3, 4, 7, 8]","[0.533460402188352, 1.2610492836845197e-09, 2.741860252555671e-08, 7.180643520923827e-07, 2.002797212979511e-11, 1.6832981662258512e-11]"
,, Create meeting in room 23 on monday at 12 ,"[""create meeting in room 23 on monday at 12"", ""create meeting on monday at 12 in room 23"", ""Book conference room 23 for Monday at 12pm."", ""create meeting in room on monday at 12"", ""Make a meeting called Team on Monday at 12:00 pm in room 23."", ""Create an event called \""Meeting\"" on Monday at 12:00 pm in room 23."", ""I need to book a room on Monday at 12:00 pm for room 23"", ""create meeting on room in room 23 on monday at 12"", ""create meeting in 23 on monday at 12"", ""create meeting in on monday at 12 in room 23""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.517351968035772, 0.0040409265348935654, 2.416472075080811e-07, 3.5932042044833893e-09, 1.7753240067222226e-08, 9.090009384684202e-09, 1.149475374042125e-09, 1.9753273571029085e-12, 1.2360366955135872e-12, 1.905938243239705e-14]"
 Good have that I have a meeting at 11 that day . , Is this good ? , Yes but reschedule it for the following Monday instead . ,"[""Reschedule that meeting to the following Monday."", ""Reschedule the meeting to the following Monday."", ""Reschedule that please"", ""Can you change it to next Monday instead?"", ""No, it should be on Monday."", ""Reschedule it for the following Monday."", ""No, move it to the following Monday."", ""No, it should be on Monday of that week."", ""Can you move it to the next day?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0.5613569000835743, 0.00018744437405993934, 2.5274284632640788e-11, 6.451339893232532e-12, 1.2213363160006747e-11, 2.2683327293761e-13, 2.900915065847376e-13, 5.402631908681912e-14, 2.3414557934227365e-15]"
 Am I free late morning Monday ? , Yes . Here are some times when you are free on Monday the 16 th . , What about on Friday ? ,"[""What about Friday?"", ""What about next Friday?"", ""What do I have on Friday?"", ""Do I have anything on Friday?"", ""What about the Friday after that?""]","[0, 1, 2, 5, 7]","[0.515348804785356, 0.00018499732923054195, 3.4822571834304085e-11, 8.908095019535498e-11, 4.749690185607414e-14]"
 Put tom as one of the attendees . , Does this look right ? , yes please make the end time 6 pm ,"[""Change the end time to 6:00 PM."", ""Remove Damon from the meeting."", ""Remove Tom from the event and replace him with John."", ""Can you change the name of the event?"", ""Yes, but change the end time to 6:00 PM."", ""The dinner will end at 6:00 PM."", ""Can you extend this to 6PM please"", ""Change the end time to 3:00 PM."", ""Change the end time to 1:00 PM.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.5067201022276974, 0.011227711103856564, 0.0015094825066626072, 0.0006556789739988744, 0.0003240873951706095, 1.6664947565018697e-07, 1.7624904160589614e-07, 4.714030736965151e-14, 1.7965639918349011e-16]"
 Yes please . Then recreate it for the week after ," I 've deleted your next event . Sorry , I ca n't handle that yet . ", ok make sure to delete the meeting with martin afterword ,"[""cancel the meeting with martin"", ""Cancel meeting with martin"", ""delete the afterword with martin"", ""cancel meeting with martin"", ""cancel the meeting with martin after this"", ""Delete my meeting with martin at this time"", ""Delete my meeting with martin after that"", ""Delete my meeting with martin after this"", ""cancel the meeting after martin""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[0.5173492023517313, 2.5630884058663776e-05, 1.2374082424212064e-10, 2.452933652019808e-07, 3.2190097603450468e-06, 1.8072262241837207e-07, 7.226665555083637e-09, 2.459151015060596e-08, 2.633679995233518e-08]"
 That is great . , I 've put that on your calendar . , I will be attending a work conference in Florida for 4 days starting on November 15 th . ,"[""I have a work conference in Florida starting on November 15th and lasting 4 days."", ""Mark that I will be in Florida for 4 days starting November 15th."", ""Mark that I'll be in Florida for a work conference from November 15th for 4 days."", ""I will be with her for 4 days starting November 15th."", ""Mark that I'll be in Florida on a work conference from November 15th for four days."", ""Mark that I will be with her for 4 days starting November 15th.""]","[0, 2, 4, 5, 6, 8]","[0.5934984781072179, 1.1708270241192192e-09, 9.576368343806883e-11, 2.4670842627219935e-13, 5.8630658187239816e-12, 1.783163586876014e-13]"
 cancel that please , Is this what you want me to cancel ? ," Do n't cancel it , just move it to next week instead . ","[""Yes and reschedule for next week."", ""No, that's not it."", ""No, just change the time."", ""Cancel everything for that day, actually."", ""defer the next meeting Simmons"", ""No, just reschedule it for next week at the same time."", ""No, just move it to next week."", ""No actually just move it to next week."", ""I need to move my meeting to next week.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.6991965935685488, 0.003212263574823737, 0.0024438125547021627, 0.0014824670506641269, 0.0008594614337198436, 0.0008334695594385266, 0.0005451082805418549, 2.1862718787911147e-09, 5.624612929825564e-09]"
" Do I have any availability this weekend , particularly on Saturday morning ? "," No , I did n't find any events on Saturday in the morning . ", What about Next Saturday ? ,"[""What about next Saturday?"", ""What do I have on Saturday?"", ""What about the following Saturday?"", ""What about Saturday morning?"", ""Do I have any free time on Saturday?"", ""what about saturday?"", ""What about Saturday?"", ""What about Saturday night?""]","[0, 1, 2, 3, 4, 5, 7, 9]","[0.6018331280067056, 1.3516100789254228e-07, 2.3012371332772727e-05, 5.06830567219241e-08, 5.6772318494216027e-08, 1.9324524854013175e-09, 4.220840677984534e-09, 6.730968634560682e-15]"
 hold on , No problem . , Now Create an Appointment with Jesse at 9 : 00 Pm ,"[""make a meeting with Jesse at 9 pm"", ""make an event for 9pm"", ""Make a 9 am meeting with Jesse"", ""Make a meeting with Jesse at 9 pm that day."", ""Schedule a 9 am meeting with Jesse"", ""Make a meeting with Jesse tonight at 9 pm."", ""Make an Appointment with Jesse at 9 pm"", ""Yes, schedule the meeting with Jesse for 9.""]","[0, 2, 3, 4, 5, 6, 7, 9]","[0.6760832958397683, 2.4931614457832064e-07, 1.8803447767415033e-08, 4.0082663609291655e-08, 1.1632608270779671e-10, 2.0466741945286246e-10, 8.511466573577404e-11, 5.6067061795293566e-12]"
,, Change the location of the Family Road Trip from Phoenix to Chicago . ,"[""Change the location of \""Family Road Trip\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" in Chicago."", ""Change the location of \""Family Road Trip\"" to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Family"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago."", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago's"", ""Change \""Family Road\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Phoenix"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Road""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0.6772895055126016, 1.8045435482658788e-05, 1.821430209721333e-09, 1.8276886258380142e-11, 1.473463077537789e-11, 7.915406367384344e-12, 1.102737000549047e-09, 4.618275717517119e-12, 1.6138849843816693e-13]"
,, Please schedule a reminder for my 5 pm conference call tomorrow afternoon ,"[""Remind me of the first flight to london"", ""Who reports to me?"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""no thanks"", ""Please schedule a meeting with the pope tomorrow."", ""I have a conference call tomorrow at 5 pm"", ""I have a conference call tomorrow afternoon."", ""I have a conference call at 5 pm"", ""I have a conference call ending at 5 pm tomorrow.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6449601054191589, 0.0009122411720454693, 0.0006135786534287035, 0.0005771926371380687, 0.00046727931476198137, 0.0004466732789296657, 0.04019136267457002, 2.9776834709361644e-08, 8.334650857173441e-11, 4.669678399592503e-11]"
 change the meeting with ben time at 10 . 00 am , How is this ? , I need to call Ben to inform him of the change . Do you have his number ? ,"[""Prepare presentation materials"", ""email Ben that the meeting is set"", ""Defer the meeting with lee Chan""]","[0, 1, 2]","[0.6242852807044983, 0.169005885720253, 0.05990375950932503]"
 it should actually be on Wednesday , Yes . Here are some times when Joe and you are free on Wednesday the 18 th . , Am i free next month ,"[""Am I free next month?"", ""When am I free next month?"", ""Do I have anything next month?"", ""When am I free?""]","[0, 1, 4, 6]","[0.695060408396476, 0.000366046662666225, 6.307345490845217e-08, 1.616661807190245e-10]"
 Yes . Is there anything scheduled for after that event ? ," I 've put that on your calendar . No , I did n't find any events on August 5 th after 2 : 30 . ", ok put meeting on tomorrow after 12 PM ,"[""I need a meeting tomorrow after 12 pm"", ""I need an appointment after 12 tomorrow"", ""I need a meeting tomorrow after 12"", ""Can you make an event for tomorrow at 12pm"", ""I need an appointment before 12 pm tomorrow"", ""I need a meeting after 12 tomorrow"", ""Schedule a meeting tomorrow between 12 and 12:30"", ""Can you schedule a meeting tomorrow between 12 and 1?""]","[0, 3, 4, 5, 6, 7, 8, 9]","[0.6125673976362718, 1.1124520312309532e-07, 1.1738681682051425e-06, 1.4006390536272477e-08, 2.4158981690101784e-10, 6.485868578349098e-08, 2.677294050976206e-09, 1.0323873504800761e-10]"
 Can you find their number for me ? , It 's ( 502 ) 452 - 9244 . , Can you tell me how much The Wild Cow in Nashville costs ? ,"[""How much is The Wild Cow in Nashville?"", ""What is the price of Wild Cow in Nashville?"", ""What are the prices of The Wild in Nashville?"", ""How much is The Wild's in Nashville?"", ""What are the prices of The Wild"", ""What is the price of The Wild Restaurant in Nashville?"", ""What are the prices of The Wild's Nashville?"", ""What is the price of Wild Wild in Nashville?"", ""What is the price of Admission to The Wild Museum in Nashville?"", ""What is the price of The Wild in Nashville in Nashville?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6005582430133917, 1.0405467911419467e-10, 1.0444273200736698e-11, 7.970667056107964e-14, 8.716385930542042e-09, 4.584432362087161e-15, 1.4410958034296994e-13, 4.21067570006498e-15, 9.133752339483494e-18, 1.190493420232747e-19]"
,, Learn spanish in the Winter ,"[""Learn spanish in winter"", ""How old are you?"", ""How many months have 30 days?"", ""Why didn't Mom come to my birthday party?"", ""What causes hail?"", ""Can you tell me when my next block of free time is?"", ""Who reports to me?"", ""create an event in winter for spanish spanish"", ""Add Learn spanish this winter"", ""Learn spanish in spanish this winter.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.6704875863151526, 0.07349015772342682, 0.011620531789958477, 0.0023154770024120808, 0.0023068534210324287, 0.0014498800737783313, 0.0010449724504724145, 6.579040521704651e-06, 1.8375006291971648e-09, 2.61608378425169e-17]"
 Can you delete the events on Monday and Tuesday ? ," I can only do one action at a time . If you separate your requests , I can help you . ", Create event for Monday and Tuesday called Vacation . ,"[""Delete all events on Monday and Tuesday."", ""What events do I have on Monday and Tuesday?"", ""How do I delete an event?"", ""I would like to create a recurring event on my calendar."", ""please update my events in my calender"", ""Mark Monday through Tuesday as Vacation."", ""Schedule a Vacation on Monday and Tuesday."", ""Schedule a Vacation from this Monday to next Tuesday."", ""Schedule a Vacation from Monday to Tuesday.""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[0.79506915807724, 0.01806170493364334, 0.012771544978022575, 0.012285648845136166, 0.0022756082471460104, 4.302821536909721e-14, 2.456592034473031e-19, 6.994251719028288e-20, 3.911168399968282e-19]"
 put meeting with johnny on calender , Does one of these work ? , fix the second one on calender ,"[""The 2nd one works great"", ""fix the second one"", ""put meeting with johnny"", ""THE LOOK IS GOOD"", ""i need prefernces"", ""The second one, but make it an hour."", ""OK THANK YOU"", ""fix the first one"", ""The 2nd one works well""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[0.7187512887822733, 0.07458051294088364, 0.024893153458833694, 0.0006741241086274385, 0.00023288041120395064, 9.320152457803488e-05, 2.1809874235792756e-11, 1.905054968986941e-12, 5.831997436344999e-12]"
" please , cancel the all appointments on April 19 "," I can only do one action at a time . If you separate your requests , I can help you . ", I m going fishing on Saturday ,"[""Add fishing on saturday"", ""I'm going fishing this Saturday."", ""Add fishing to my calendar on Saturday"", ""Add an all day event for fishing on saturday"", ""add fishing fishing on saturday"", ""I went fishing last Saturday"", ""I'm going fishing __User __User on Saturday""]","[0, 1, 2, 3, 4, 5, 8]","[0.783390416199893, 0.001271688842363226, 1.2254392602593338e-10, 4.235169344877579e-11, 3.138056140696709e-09, 3.4722331980274607e-07, 3.205069091541032e-12]"
 Who are Jake 's reports , Jake Cobb has no direct reports . , Who does he report to ? ,"[""Who does he repot to?"", ""who does he report to?"", ""Who does Jake report to?"", ""Who do I report to?"", ""Who are his reports"", ""Who does he report to?"", ""Who does he supervise?"", ""Who is his direct reports""]","[0, 1, 2, 3, 5, 6, 8, 9]","[0.7870524482208943, 0.0035468884743750095, 0.000944756654682891, 2.464387885286074e-07, 8.750998491228232e-07, 2.3024640162175184e-07, 4.420844610960293e-10, 2.2088418668814216e-07]"
,, Please check to see if I have any dentist appointments this week . ,"[""What dentist appointments do I have this week?"", ""Search for dentist appointments"", ""Do I have any dentist appointments this week?"", ""What day is my dentist appointment this week?"", ""What day am I going to the dentist this week?"", ""How many dentist appointments do I have this week?""]","[0, 1, 2, 3, 6, 8]","[0.7098162807076408, 4.914771921447563e-08, 0.00020264446976283164, 2.528638149175671e-06, 3.786826763169743e-09, 4.047595362982484e-09]"
,, Set a reminder for my doctor 's appointment Friday ,"[""Remind me of the first flight to london"", ""Who reports to me?"", ""Please schedule a meeting with the pope tomorrow."", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""How old are you?"", ""I need to change the date of my doctor's appointment"", ""I have a doctor's appointment on Friday"", ""I had a doctor's appointment last friday?"", ""Schedule a doctor's appointment for Friday."", ""Schedule a doctor's appointment that ends on Friday.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7213876843452454, 0.0006801000563427806, 0.0004792155232280493, 0.0004625496221706271, 0.0003829229681286961, 0.0003467306378297508, 0.005342677779345493, 3.805348649525882e-13, 1.7417363354459976e-14, 3.847583061166599e-14]"
 Can you schedule me a hair apointment for next wee , Does one of these work ? , 28 is ok ,"[""The one on the 28th"", ""I would prefer the first option."", ""The one on the 28th please"", ""yes"", ""28 is ok"", ""April 28 works""]","[0, 1, 2, 3, 5, 6]","[0.7703643698893605, 0.0007150375749915838, 0.0003144593376319087, 5.5439104154706043e-11, 1.8856519995600947e-10, 1.569164122986639e-10]"
 schedule a meeting with amma at 6 pm , Is this good ? , actually it should be in 1 hour from now ,"[""postpone the meeting to one hour from now"", ""can you change the meeting time"", ""Make it start right now"", ""Make it an hour from now"", ""Push it to an hour from now."", ""Push it back by 1 1 in."", ""I meant the meeting in 1 hour."", ""1 from 1 is better."", ""Can you make it an hour later?"", ""wait i am not sure if it is ok or not""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.7787401305499361, 0.007295845542103052, 3.8923280283279165e-10, 5.5062829182815715e-09, 1.819211379684411e-08, 1.1522479960124862e-10, 2.135440590610525e-11, 8.88699150270492e-13, 1.5574963485160577e-10, 0.0]"
 ok delete all events one by one ," I can only do one action at a time . If you separate your requests , I can help you . ", WHEN YOU ARRANGE WITH EVENT ,"[""When is my appointment?"", ""I need help with my calendar"", ""Why is that?"", ""what events do I have coming up"", ""when is my next meeting?"", ""I need to make an appointment"", ""What is my next scheduled event?"", ""What is the meeting about?"", ""When is the meeting?"", ""WHEN IS MY ARRANGE""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.709835729642819, 0.004169601947069168, 0.003957436420023441, 0.00010023266332343309, 0.0002298370130544091, 8.925383294339315e-05, 1.9920816440253444e-06, 2.562785500667534e-05, 2.371269861625399e-05, 0.0006513204384397397]"
 What will be the weather tomorrow ," It will be clear with a high of 0 . 00  F and a low of 0 . 00  F on Sun , October 28 . ", How much rain will we get today ? ,"[""How much rain will we get today?"", ""Will it rain today?"", ""How many inches?"", ""How much will it rain?"", ""What is the chance of rain today?"", ""What is the highest chance of rain today?"", ""What is the average chance of rain today?""]","[0, 1, 2, 3, 4, 6, 8]","[0.7773097760710133, 1.1687005947289346e-05, 8.551845212710022e-07, 1.5586940073530899e-10, 3.803311087851689e-09, 4.798122248077611e-10, 1.3045640833141143e-12]"
 What about tomorrow night ? ," Yes , I found one event . It 's "" Appointment "" tomorrow from 8 : 00 to 8 : 30 PM . ", And the morning ? ,"[""And the morning?"", ""And what do I have that morning?"", ""And the one in the morning?"", ""What about this morning?"", ""What about in the morning?"", ""What about tomorrow morning?"", ""Do I have anything in the morning?"", ""And the next morning?""]","[0, 1, 3, 4, 5, 6, 7, 8]","[0.8218359627429068, 1.3279390069126716e-07, 1.1956720899359212e-08, 3.977138598301286e-10, 3.3094713487476982e-12, 2.04304216787777e-10, 3.6334744423466798e-09, 7.288216553104584e-09]"
 Set a dinner date for 5 th of April , Does one of these work ? ," No , at 7 PM ","[""can you arrange with 7:00 PM""]",[0],[0.8727121873774019]
 I need to invite Abby to that , How is this ? , it also needs to be all day ,"[""Make it last all day.""]",[0],[0.8720284600187099]
 Do I have anything scheduled today ? ," No , I did n't find any events for the rest of today . ", Add a one hour meeting with Amy to my schedule at 3 PM today . ,"[""Add a one hour meeting with Amy to my schedule today at 3 PM.""]",[0],[0.890419153770599]
 Do I have meeting with John tomorrow ? ," Yes , I found one event tomorrow . It 's "" Meeting with John and Damon Straeter "" from 2 : 00 to 2 : 30 PM . ", how about with Erin ? ,"[""What about with Erin?""]",[0],[0.8863591917841589]
,, Can you make a meeting for john in 2 hours with me at sprint ? ,"[""make a meet with john at sprint in 2 hours"", ""Set up a meeting at sprint in 2 hours"", ""make a meeting with john in 2 hours"", ""make an appointment with john at McDonalds in 2 hours"", ""meeting with john at sprint in 2 hours"", ""Schedule a meeting with john at Starbucks in 2 hours."", ""make a meet with john at sprint in an hour"", ""Schedule a meeting with john at the Clubhouse in 2 hours.""]","[0, 1, 2, 3, 4, 5, 6, 7]","[0.8258245160309503, 9.474197448105047e-09, 1.1206057303377683e-07, 1.6743459527056618e-07, 2.3723586261572653e-08, 1.2016887681158635e-08, 3.085397382875129e-09, 2.893953534381256e-09]"
 schedule lunch with all departmental heads , I can only look up names in your address book . Please use a full name and try again . , Can you find Mike in my book ? ,"[""Look up Mike in my address book""]",[0],[0.8595221376845001]
 add dates to my calendar , Does one of these work ? , yes ,"[""yes""]",[0],[0.8545484500863433]
,, What time is the soccer game ? ,"[""when is my soccer game?""]",[0],[0.8765713722693402]
 How hot will it be when I land in LA tonight ? , The maximum temperature will be 0 . 00  F today . , On Saturday in St. Louis will there be storms ? ,"[""Is there going to be any storms in St. Louis on Saturday?"", ""Will it be raining in St. Louis on Saturday?"", ""Will it rain in St. Louis on Saturday?"", ""Will it be nice in St. Louis on Saturday?"", ""Will it be snowing in St. Louis on Saturday?"", ""Will it snow in St. Louis on Saturday?"", ""Will it be windy in St. Louis on Saturday?"", ""What is my email address for St. Louis on Saturday?"", ""I'm going to St. Louis on Saturday"", ""Is there going to be any storms coming through St. Louis in Saturday?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.8064744156049377, 2.5577636500389486e-05, 1.9826257897524733e-05, 2.0759925431928577e-08, 2.0478147224473848e-09, 7.65756631384849e-10, 3.0528675402911543e-10, 2.4736001170847787e-10, 1.7926598012345555e-11, 7.973939124270536e-17]"
,, Schedule Spring Festival for April . ,"[""Spring Festival is in April""]",[0],[0.9678120015093311]
 who has not Declined to Team Lunch ," Here is the list of attendees who have not declined "" Team lunch "" : you and Kim Possible . ", So then who has not Accepted that ? ,"[""Who has not accepted that?""]",[0],[0.9951443202786564]
" Perfect , thank you . ", Let me know if there 's anything else I can help you with . , Make a appointment for tomorrow . ,"[""Make a appointment for tomorrow""]",[0],[0.9774088343683651]
 Thank you . ," I 've changed "" Meeting with Barack Obama "" to be . ", Can you cancel the meeting with Barack Obama ? ,"[""Meeting with Barack Obama. Cancel""]",[0],[0.9815258084673041]
" Okay , yes then , please set my gym appointment for Thursday at 1 pm . ", Is this good ? , Correct ,"[""Yes it does.""]",[0],[0.9964930817005211]
 who has nt accepted the happy hour ," Here is the list of attendees who have not accepted "" happy hour "" : you and Kim Possible . Unfortunately , Kim Possible declined . ", Who has not declined the happy hour then ? ,"[""Who has not declined the happy hour?""]",[0],[0.9914030614676108]
 Add Fran to my 2 : 30 meeting today , I did n't find any events at 2 : 30 PM . , Remove my 2 : 30 meeting today ,"[""cancel my 2 : 30 meeting today""]",[0],[0.9517546006988847]
 When did you say it starts ? , It starts March 1 st at 2 : 00 PM . , And when will it end ? ,"[""And when does it end?""]",[0],[0.9844760135149642]
 Thanks . Now can you put an early dinner event at 16 h for the same day ? , Is this what you 're looking for ? , Yessir . ,"[""Yes, this looks good.""]",[0],[0.9935711568687111]
 ok fine thank you ," I 've changed "" Doctor 's Appointment for that issue that 's maybe life - threatening "" to be . ", Cancel my doctors appointment for friday ,"[""Can you cancel my doctors appointment on Friday?""]",[0],[0.974851205606845]
