user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list
 Do I see Amy today ? ," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ", Can you change the time to 8 ? ,"[""Change the time to 8pm"", ""can you change the meeting time"", ""Change the time to 8am"", ""Can you change that to be around 8 pm?"", ""Can you change that to be around 8 am?"", ""Can you change the time to 8pm?""]","[0, 1, 2, 3, 4, 9]"
 it should actually be on Wednesday , Yes . Here are some times when Joe and you are free on Wednesday the 18 th . , Am i free next month ,"[""Am I free next month?"", ""When am I free next month?"", ""Do I have anything next month?"", ""When am I free?""]","[0, 1, 4, 6]"
,, Please schedule a reminder for my 5 pm conference call tomorrow afternoon ,"[""Remind me of the first flight to london"", ""Who reports to me?"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""no thanks"", ""Please schedule a meeting with the pope tomorrow."", ""I have a conference call tomorrow at 5 pm"", ""I have a conference call tomorrow afternoon."", ""I have a conference call at 5 pm"", ""I have a conference call ending at 5 pm tomorrow.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
" Do I have any availability this weekend , particularly on Saturday morning ? "," No , I did n't find any events on Saturday in the morning . ", What about Next Saturday ? ,"[""What about next Saturday?"", ""What do I have on Saturday?"", ""What about the following Saturday?"", ""What about Saturday morning?"", ""Do I have any free time on Saturday?"", ""what about saturday?"", ""What about Saturday?"", ""What about Saturday night?""]","[0, 1, 2, 3, 4, 5, 7, 9]"
 Do I meet with Tasha next week ? ," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ", Is there a play later this week ? ,"[""Do I have a play later this week?"", ""Do I have a meeting with Tasha next week at all?"", ""Do I have a play later next week?"", ""Do I have a play this week?"", ""What about the play later this week?"", ""Do I have a play later in the afternoon?"", ""Do I have a play later in the week?"", ""Am I going to play a play later this week?""]","[0, 1, 2, 3, 5, 6, 8, 9]"
" Yes , perfect ", I 've put that on your calendar . , When is my OBGYN appointment ? ,"[""when is my OBGYN appointment?"", ""Can you search for an OBGYN appointment?"", ""Can you find my OBGYN appointment?"", ""Can you show me my appointment with the OBGYN?"", ""when is my OBGYN Meeting?"", ""What time is my OBGYN appointment?""]","[0, 2, 3, 4, 7, 8]"
 i need you to decline the event with Josh ," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ", Yes also decline my AC / CD Reunion and say i am going to see Journey instead ,"[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey"", ""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Reunion instead."", ""Yes, that's good. Decline my AC / CD and say that i am going to see Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that \""It am going to see Journey instead\""""]","[0, 1, 2, 3, 4, 5, 8, 9]"
 On second thought I 'm going to need it scheduled a little bit earlier . , Does one of these work ? , No later in the morning ,"[""No, I need something later in the morning."", ""I like the earlier one."", ""fix the second one"", ""No, none of those work."", ""What about late morning?"", ""No, I need something in the morning."", ""No, I need something later in the afternoon."", ""Can we make it a little earlier in the morning?""]","[0, 1, 2, 3, 5, 6, 7, 9]"
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ? ,"[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?"", ""When is Easter?"", ""When is Flag Day this year?"", ""When is New Years Eve this year?"", ""when is chrismas"", ""When is Thanksgiving this year?"", ""What day of the week is Easter this year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
,, Can you tell me where and when my appointment with Batman will be ? ,"[""I need to cancel all my meetings for tomorrow."", ""Can you tell me when my doctors appointment is and what time it is?"", ""When is my appointment with Batman?"", ""Can you tell me when my appointment with Batman will be?"", ""Can you tell me any upcoming events I have with Batman?"", ""Can you tell me where my appointment with Batman will be?"", ""Can you tell me where and when my appointment with Batman will be?"", ""Can you tell me the location of my appointment with Batman?"", ""Can you tell me where my appointment with Batman is?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
 Please cancel both Thursday meetings with John . ," I can only do one action at a time . If you separate your requests , I can help you . ", Can you send Mike an invitation ? ,"[""email Cecelia Waller that the meeting is set"", ""Can you forward this to Mike?"", ""Why is that?"", ""Please schedule a meeting with the pope tomorrow."", ""Please add Mike to this meeting."", ""Please call Mike for me."", ""Can you schedule a meeting with Mike?"", ""Can you forward my meeting to Mike?"", ""Can you forward this to Mike and Mike""]","[0, 1, 2, 3, 4, 5, 7, 8, 9]"
,, Can you make a meeting for john in 2 hours with me at sprint ? ,"[""make a meet with john at sprint in 2 hours"", ""Set up a meeting at sprint in 2 hours"", ""make a meeting with john in 2 hours"", ""make an appointment with john at McDonalds in 2 hours"", ""meeting with john at sprint in 2 hours"", ""Schedule a meeting with john at Starbucks in 2 hours."", ""make a meet with john at sprint in an hour"", ""Schedule a meeting with john at the Clubhouse in 2 hours.""]","[0, 1, 2, 3, 4, 5, 6, 7]"
,, Learn spanish in the Winter ,"[""Learn spanish in winter"", ""How old are you?"", ""How many months have 30 days?"", ""Why didn't Mom come to my birthday party?"", ""What causes hail?"", ""Can you tell me when my next block of free time is?"", ""Who reports to me?"", ""create an event in winter for spanish spanish"", ""Add Learn spanish this winter"", ""Learn spanish in spanish this winter.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Extend it by 30 min , How about now ? , it ends at 8 AM ,"[""Extend the end time by 15 minutes."", ""Extend it to 8AM please"", ""Can you extend it by 30 min?"", ""That looks good."", ""Extend it to 8PM"", ""Extend appointment until 8:00 AM.""]","[0, 1, 2, 3, 8, 9]"
 Am I free late morning Monday ? , Yes . Here are some times when you are free on Monday the 16 th . , What about on Friday ? ,"[""What about Friday?"", ""What about next Friday?"", ""What do I have on Friday?"", ""Do I have anything on Friday?"", ""What about the Friday after that?""]","[0, 1, 2, 5, 7]"
 i need to who know my friend , I can only look up names in your address book . Please use a full name and try again . , Can you tell me if I have a manager ? ,"[""i need john's home address"", ""Who is my boss?"", ""i need to know when my manager is free"", ""Is my boss the organizer of that event?"", ""Do I have a meeting with my boss soon?"", ""Can you find my meeting with my boss?"", ""Who is on my team"", ""when is my boss free?""]","[0, 1, 2, 4, 5, 6, 7, 8]"
" Okay , yes then , please set my gym appointment for Thursday at 1 pm . ", Is this good ? , Correct ,"[""Yes it does.""]",[0]
 That is great . , I 've put that on your calendar . , I will be attending a work conference in Florida for 4 days starting on November 15 th . ,"[""I have a work conference in Florida starting on November 15th and lasting 4 days."", ""Mark that I will be in Florida for 4 days starting November 15th."", ""Mark that I'll be in Florida for a work conference from November 15th for 4 days."", ""I will be with her for 4 days starting November 15th."", ""Mark that I'll be in Florida on a work conference from November 15th for four days."", ""Mark that I will be with her for 4 days starting November 15th.""]","[0, 2, 4, 5, 6, 8]"
 Thanks . Now can you put an early dinner event at 16 h for the same day ? , Is this what you 're looking for ? , Yessir . ,"[""Yes, this looks good.""]",[0]
 what are the wind speeds , It 's 5 . 71 mph . , when is sunset ,"[""when is sunset today?"", ""when is sunset?"", ""What time does it start?"", ""what time is sunset?"", ""what time is sunrise today?"", ""what time will the sun set?"", ""What is the traffic like?""]","[0, 1, 2, 3, 6, 7, 8]"
 I need to invite Abby to that , How is this ? , it also needs to be all day ,"[""Make it last all day.""]",[0]
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ? ,"[""What about the next day?"", ""Anything the next day?"", ""What do I have the day after that?"", ""What do I have the next day?"", ""What about the day after?""]","[0, 1, 2, 3, 9]"
 When did you say it starts ? , It starts March 1 st at 2 : 00 PM . , And when will it end ? ,"[""And when does it end?""]",[0]
 good deal , Let me know if there 's anything else I can help you with . , I need to find when I last met with bob . ,"[""When was my last meeting with bob?"", ""When was the last time I saw bob?"", ""Can you find the last time I met with bob?"", ""When is my last meeting with bob today?"", ""When was my meeting with bob?"", ""When is my last meeting with bob that day?""]","[0, 2, 3, 6, 7, 8]"
 What do I have next Tuesday afternoon ? ," I found one event . It 's a "" Gym Session "" . ", Awesome . Is there a meeting between 4 and 5 pm that day ? ,"[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]","[0, 1, 2, 5]"
,, Change the location of the Family Road Trip from Phoenix to Chicago . ,"[""Change the location of \""Family Road Trip\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" in Chicago."", ""Change the location of \""Family Road Trip\"" to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Family"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago."", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago's"", ""Change \""Family Road\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Phoenix"", ""Change the location of \""Family Road Trip\"" from Phoenix to Chicago Road""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]"
,, find the type of event scheduled for January 2 nd ,"[""What do I have planned for January 2nd?"", ""I need to change the date of my doctor's appointment"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need help with my calendar"", ""What time is my meeting on January 2nd?"", ""What is the name of the event on January 2?"", ""What is my second event on January 2?"", ""What do I have on January 2nd 2019?"", ""Who am I meeting with on January 2nd?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 What time is my meeting on Friday ? , The event on your calendar is tomorrow at 9 : 00 AM . , Does Dan Schoffel report to anybody ? ,"[""When did I last drink a coffee?"", ""Who is Dan Schoffel's boss?"", ""Who are Dan Schoffel's reports?"", ""What is Dan Schoffel contact info?"", ""Is Dan Schoffel invited?"", ""Is Dan Schoffel's manager invited?"", ""Is Dan Schoffel's boss invited?"", ""Who is Dan Schoffel's manager?"", ""Is Dan Schoffel's manager?""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]"
 What about tomorrow night ? ," Yes , I found one event . It 's "" Appointment "" tomorrow from 8 : 00 to 8 : 30 PM . ", And the morning ? ,"[""And the morning?"", ""And what do I have that morning?"", ""And the one in the morning?"", ""What about this morning?"", ""What about in the morning?"", ""What about tomorrow morning?"", ""Do I have anything in the morning?"", ""And the next morning?""]","[0, 1, 3, 4, 5, 6, 7, 8]"
 hold on , No problem . , Now Create an Appointment with Jesse at 9 : 00 Pm ,"[""make a meeting with Jesse at 9 pm"", ""make an event for 9pm"", ""Make a 9 am meeting with Jesse"", ""Make a meeting with Jesse at 9 pm that day."", ""Schedule a 9 am meeting with Jesse"", ""Make a meeting with Jesse tonight at 9 pm."", ""Make an Appointment with Jesse at 9 pm"", ""Yes, schedule the meeting with Jesse for 9.""]","[0, 2, 3, 4, 5, 6, 7, 9]"
 Make an all day event for tomorrow with Abby , Is this what you 're looking for ? , Abby just called . She will not be able to make it . Cancel the all - day event . ,"[""cancel this all day event"", ""Remove Abby from the all day event"", ""cancel the meeting"", ""Delete the all day event without Abby"", ""cancel the all day event"", ""No, cancel that all day event."", ""Delete my all day event"", ""Remove Abby from that"", ""Delete the all day event without Abby please."", ""Remove Abby from my all day event please.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 add dates to my calendar , Does one of these work ? , yes ,"[""yes""]",[0]
 Thank you . ," I 've changed "" Meeting with Barack Obama "" to be . ", Can you cancel the meeting with Barack Obama ? ,"[""Meeting with Barack Obama. Cancel""]",[0]
 And the next one ? , That was the last result . , IS there a lunch schedule after the dentist ? ,"[""Do I have a lunch after the dentist?"", ""Do I have lunch after the dentist?"", ""Do I have anything after lunch but before the dentist?""]","[0, 2, 4]"
,, Please check to see if I have any dentist appointments this week . ,"[""What dentist appointments do I have this week?"", ""Search for dentist appointments"", ""Do I have any dentist appointments this week?"", ""What day is my dentist appointment this week?"", ""What day am I going to the dentist this week?"", ""How many dentist appointments do I have this week?""]","[0, 1, 2, 3, 6, 8]"
 ok fine thank you ," I 've changed "" Doctor 's Appointment for that issue that 's maybe life - threatening "" to be . ", Cancel my doctors appointment for friday ,"[""Can you cancel my doctors appointment on Friday?""]",[0]
 when did i meet with John last week ? , The event with John last week was on Wednesday the 8 th at 9 : 00 AM . , Change the time to 10 am to 11 am . ,"[""when can i meet with john next week?"", ""change the meeting time at 10.00 am - 11.00am"", ""Change the time to 11am"", ""change the time 10.00 am - 11.00am"", ""The meeting lasted until 11:00 AM."", ""change the time from 10.00 am - 11.00am"", ""please change the meeting 10.00 to 11.00 am"", ""please change the meeting 10.00 am - 11.00am"", ""Can you change the time to 10:00 to 11:00 AM?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]"
,, what event do ih ave next ? ,"[""What is my next scheduled event?"", ""when is my next iih"", ""what is my next meeting at ih"", ""What is my first scheduled event?"", ""What's the first thing going on right now?"", ""Show my next meeting with ih"", ""When is my next meeting with ih?"", ""when is my next iih?"", ""What is my next event after this one?"", ""What is my next event with Kim?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Yes also decline my AC / CD Reunion and say i am going to see Journey instead ," I have declined it . I will decline "" AC / CD Reunion "" and send a response to the organizer with the following comment : "" i am going to see Journey instead "" . Is that ok ? ", Yes . And decline the hike and say that I 'm busy wake boarding that day . ,"[""Yes, that's good. Decline my hike and say that I'm busy wake boarding that day."", ""Yes, that's good. Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy wake boarding."", ""Decline the hike and say that I'm busy wake boarding that day."", ""Yes, thank you. Decline my hike and say that I'm busy boarding that day.""]","[0, 3, 4, 5, 9]"
,, How long have a blocked out for my doctor 's appointment ? ,"[""How old are you?"", ""How many days do I have completely free next month?"", ""Can you tell me the weather for tomorrow in Greenville, NC?""]","[0, 1, 2]"
" Hi , what meetings do I have scheduled for tomorrow ? ", Here 's what I found : , Is there something the next day ? ,"[""Do I have anything the next day?"", ""How about the day after?"", ""How about the next day?"", ""Do I have anything the day after that?""]","[0, 1, 3, 8]"
,, delete my event with Sam at the museum on the 22 nd ,"[""Sam and I aren't going to the museum on the 22nd anymore."", ""Cancel my visit to the museum on the 22nd."", ""Delete my meeting with Sam on the 22nd."", ""Delete my event at the museum on the 22nd."", ""I never went to the museum with Sam on the 22nd. Delete it."", ""Sam and I aren't going to the museum anymore on the 22nd."", ""Delete my meeting with Sam at the museum on the 22nd.""]","[0, 1, 2, 4, 5, 7, 9]"
 what events are this weekend ? , I did n't find any events this weekend . ," Nevermind , just put that on my calendar ","[""How do I create an event?"", ""update my calender"", ""Yes that looks right."", ""Can you create an event?"", ""Are you sure? Please check one more time."", ""what is the event?"", ""Let's put that on the calendar."", ""add that"", ""that put on my calender"", ""put appointment that my""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
 Can you schedule me a hair apointment for next wee , Does one of these work ? , 28 is ok ,"[""The one on the 28th"", ""I would prefer the first option."", ""The one on the 28th please"", ""yes"", ""28 is ok"", ""April 28 works""]","[0, 1, 2, 3, 5, 6]"
 Yes . Is there anything scheduled for after that event ? ," I 've put that on your calendar . No , I did n't find any events on August 5 th after 2 : 30 . ", ok put meeting on tomorrow after 12 PM ,"[""I need a meeting tomorrow after 12 pm"", ""I need an appointment after 12 tomorrow"", ""I need a meeting tomorrow after 12"", ""Can you make an event for tomorrow at 12pm"", ""I need an appointment before 12 pm tomorrow"", ""I need a meeting after 12 tomorrow"", ""Schedule a meeting tomorrow between 12 and 12:30"", ""Can you schedule a meeting tomorrow between 12 and 1?""]","[0, 3, 4, 5, 6, 7, 8, 9]"
 Do I have anything on Sunday after 5 pm ? ," No , I did n't find any events on Sunday the 20 th after 5 : 00 PM . ", Put Strange Aeons for sunday at 7 : 30 pm until 11 pm . It 'll be in Roll20 as usual . ,"[""How do I add an event to my calendar?"", ""Add Strange Aeons to my calendar on Sunday from 7 pm to 11 pm at Roll20."", ""Add Strange Aeons to my calendar on Saturday from 7 pm to 11 pm at Roll20."", ""Can you confirm this?""]","[0, 1, 3, 4]"
 That 'll work . , I 've put that on your calendar . , 2 - 4 PM is down time with janice . ,"[""down time with janice at 2"", ""2-4PM down time with janice"", ""schedule down time with janice until 4\\2"", ""2-4PM down time with janice at janice"", ""2-4PM is down time with janice.""]","[0, 1, 5, 7, 8]"
 Looks good to me . , I 've put that on your calendar . , Schedule a video call with Tom and his supervisor Friday at 2 . ,"[""Schedule a video call with Tom and his supervisor on Friday at 2:00 pm."", ""Schedule a video call with the manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and his supervisor Friday at 2 pm."", ""Schedule a video call with Tom's manager on Friday at 2:00 pm."", ""Schedule a video call with Tom and Tom's boss Friday at 2 pm."", ""Schedule a video call with him and his boss Friday at 2 pm."", ""Schedule a video call with both of them Friday at 2 pm."", ""Schedule a video call with Tom and his boss Friday at 2 pm.""]","[0, 1, 2, 3, 5, 6, 8, 9]"
 yes , I have accepted it . , Thanks . Accept my personal training appointment and say that I 'll bring my own weights to use during our workout . ,"[""Please accept my personal training appointment and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our workout."", ""Please accept my personal training and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our."", ""Please accept my personal training appointment and say that I'll bring my own weights."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our __User event."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our our workout.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
,, Set a reminder for my doctor 's appointment Friday ,"[""Remind me of the first flight to london"", ""Who reports to me?"", ""Please schedule a meeting with the pope tomorrow."", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""How old are you?"", ""I need to change the date of my doctor's appointment"", ""I have a doctor's appointment on Friday"", ""I had a doctor's appointment last friday?"", ""Schedule a doctor's appointment for Friday."", ""Schedule a doctor's appointment that ends on Friday.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
